Molecule,Scaffold,S1_eV,T1_eV,ΔEST_eV,fosc,kr,SOC_cm,Rating
Hz_POZ1_Cz2,Hz,3.338,3.271,0.068,0.011,5318119.385360827,,Dark
Hz_NPh21_POZ2,Hz,3.447,3.363,0.083,0.003,1546666.055355425,,Dark
Hz_NH21_POZ2,Hz,3.555,3.46,0.095,0.097,53191676.30115991,,TADF
Hz_NMe21_POZ2,Hz,3.584,3.482,0.102,0.144,80258534.75075199,,TADF*
Hz_NEt21_POZ2,Hz,3.554,3.45,0.105,0.165,90429790.31126615,,TADF*
Hz_POZ3,Hz,3.465,3.356,0.109,0.005,2604769.0017094887,,Dark
Hz_POZ2_CF31,Hz,3.151,3.041,0.11,0.286,123212727.69280033,0.06,TADF*
Hz_NHPh1_POZ2,Hz,3.482,3.364,0.118,0.121,63655456.43110587,,TADF*
Hz_POZ2_SO2Ph1,Hz,3.122,3.004,0.119,0.453,191582895.23685515,0.05,TADF**
BCz3,BN,3.502,3.305,0.197,0.437,232544703.90634847,0.32,TADF*
