mol_id,scaffold_family,y_true,pred,nonconf_score,boot_std,nearest_calib_id,nearest_calib_tanimoto,nearest_calib_distance,abs_residual
Hz_NH22_SO2Ph1,Hz,-0.06416,0.06550422,0.1296642231082916,0.0553701959890911,Hz_NPh22_SO2Ph1,0.6097560975609756,0.3902439024390244,0.12966422
Hz_NMe22_CN1,Hz,0.0535,0.029585205,0.0239147949814796,0.1006948895660606,Hz_POZ2_CN1,0.4146341463414634,0.5853658536585367,0.023914795
Hz_NEt22_CN1,Hz,0.04848,0.04955423,0.0010742287826538,0.0873682258175372,Hz_NEt21_POZ2,0.45454545454545453,0.5454545454545454,0.0010742299999999955
Hz_NEt22_CF31,Hz,-0.03593,0.05975371,0.0956837085413932,0.1255723726026818,Hz_NEt21_POZ2,0.45454545454545453,0.5454545454545454,0.09568371
Hz_NPh22_CN1,Hz,-0.05384,0.06134647,0.1151864713096618,0.0795845523322755,Hz_NPh21_Cz2,0.5476190476190477,0.45238095238095233,0.11518647
Hz_NEt21_NPh22,Hz,-0.08858,0.057108134,0.1456881340312957,0.0868112671613853,Hz_NEt21_POZ2,0.5853658536585366,0.41463414634146345,0.145688134
Hz_POZ1_NPh21_SO2Ph1,Hz,0.06967,-0.020612504,0.0902825043332576,0.0445993272583878,Hz_POZ2_SO2Ph1,0.782608695652174,0.21739130434782605,0.090282504
Hz_Cz1_NPh21_CF31,Hz,-0.13573,-0.14289969,0.0071696920585632,0.060243400501706,Hz_NPh21_Cz2,0.7857142857142857,0.2142857142857143,0.007169690000000006
Hz_DMAC1_NPh21_SO2Ph1,Hz,-0.06566,-0.10672437,0.0410643665456771,0.050925835237982,Hz_DMAC2_SO2Ph1,0.7916666666666666,0.20833333333333337,0.04106437
5AP_NPh22,5AP,0.1954,0.18730971,0.0080902878284454,0.1027923423539961,5AP_NEt2_NPh2,0.78125,0.21875,0.00809029
5AP_NMe2_NPh2,5AP,0.22997,0.14439912,0.0855708785963058,0.0864704423748769,5AP_NEt2_NPh2,0.7222222222222222,0.2777777777777778,0.08557088000000002
5AP_NEt2_Ph,5AP,0.1727,0.109358996,0.0633410038471221,0.0911651399508508,5AP_NEt2_NPh2,0.6666666666666666,0.33333333333333337,0.06334100399999999
5AP_NPh2_Me,5AP,0.17137,0.14903757,0.0223324302387237,0.091671604537098,5AP_NEt2_NPh2,0.6756756756756757,0.32432432432432434,0.022332429999999986
5AP_NPh2_OMe,5AP,0.22031,0.15085652,0.0694534752941131,0.093816892824376,5AP_NEt2_NPh2,0.625,0.375,0.06945348000000001
