mol_id,set,scaffold_family,y_true,pred,abs_residual,nonconf_score,boot_std,d_nn_to_source,d_knn5_to_source
Hz_POZ3,calibration,Hz,0.1086399999999998,0.10333537,0.00530462999999981,0.0053046268963811,0.0289697186144164,0.7567567567567568,0.7699223361292327
Hz_NPh22_SO2Ph1,calibration,Hz,-0.09532,-0.08972046,0.00559954,0.0055995422077178,0.016204925930743,0.7551020408163265,0.8094274686143752
Hz_POZ2_CN1,calibration,Hz,0.05854,0.06129109,0.0027510899999999977,0.0027510911440849,0.0379836084968507,0.5853658536585367,0.6807696058274848
Hz_POZ2_CF31,calibration,Hz,0.11009,0.107151024,0.002938975999999996,0.0029389759564399,0.038226501209545,0.5853658536585367,0.6898018177460685
Hz_POZ2_SO2Ph1,calibration,Hz,0.1188000000000002,0.11490619,0.003893810000000192,0.0038938081741334,0.0232046289435515,0.8200000000000001,0.8312498570611779
Hz_DMAC2_SO2Ph1,calibration,Hz,-0.03205,-0.02325448,0.008795520000000001,0.0087955197870731,0.0936293437549971,0.8214285714285714,0.8285014985014986
Hz_NH21_POZ2,calibration,Hz,0.0947900000000001,0.091663316,0.0031266840000001017,0.0031266841077805,0.0483603930668203,0.631578947368421,0.7211111729369678
Hz_NMe21_POZ2,calibration,Hz,0.1019899999999998,0.100402266,0.0015877339999997991,0.0015877342128751,0.0594966472494532,0.5853658536585367,0.6922027781302222
Hz_NEt21_POZ2,calibration,Hz,0.1045899999999999,0.09064446,0.013945539999999909,0.013945543553829,0.0548863219142838,0.7291666666666667,0.7897139708878107
Hz_NHPh1_POZ2,calibration,Hz,0.1177100000000002,0.1126687,0.005041300000000207,0.0050412994837762,0.0275161307918408,0.75,0.8031265664160401
Hz_NPh21_POZ2,calibration,Hz,0.0833699999999999,0.08236937,0.0010006299999999052,0.0010006277513503,0.0308467774289498,0.75,0.8031265664160401
Hz_NPh21_Cz2,calibration,Hz,-0.11945,-0.11141139,0.008038610000000002,0.0080386073112487,0.0842109667825724,0.7446808510638299,0.8031341652002346
Hz_POZ1_Cz2,calibration,Hz,0.0676899999999998,0.06345071,0.004239289999999812,0.0042392910146711,0.0567948180645122,0.8043478260869565,0.8185648066654932
Hz_POZ1_DMAC2,calibration,Hz,0.02669,0.037912324,0.011222323999999999,0.0112223240709304,0.0910130623148565,0.8,0.8071621621621622
Hz_POZ1_NPh21_CF31,calibration,Hz,-0.00971,-0.0046179965,0.0050920035,0.0050920034861564,0.0129031520317956,0.6730769230769231,0.7399964602553041
Hz_DMAC1_NPh21_CF31,calibration,Hz,-0.12034,-0.0964867,0.023853300000000008,0.0238532974386215,0.0605020540638877,0.6851851851851851,0.7445904032110928
5AP_NEt2_NPh2,calibration,5AP,0.21509,0.2122049,0.0028851000000000016,0.0028850966358184,0.0981679354293724,0.9056603773584906,0.9115615975527629
BCz3,calibration,BN-PAH,0.1968399999999999,0.1701625,0.02667749999999991,0.0266775010490416,0.0811451706877576,0.8913043478260869,0.8957427772218971
POZ-BN,calibration,BN-PAH,0.03856,0.04847689,0.009916890000000005,0.0099168897294998,0.0474354020030581,0.88,0.8832398190045249
Hz_NH22_SO2Ph1,test,Hz,-0.06416,0.06550422,0.12966422,0.1296642231082916,0.0553701959890911,0.65,0.7388537414965987
Hz_NMe22_CN1,test,Hz,0.0535,0.029585205,0.023914795,0.0239147949814796,0.1006948895660606,0.5555555555555556,0.6236363636363637
Hz_NEt22_CN1,test,Hz,0.04848,0.04955423,0.0010742299999999955,0.0010742287826538,0.0873682258175372,0.5897435897435898,0.6828287867501128
Hz_NEt22_CF31,test,Hz,-0.03593,0.05975371,0.09568371,0.0956837085413932,0.1255723726026818,0.5897435897435898,0.6803971758078636
Hz_NPh22_CN1,test,Hz,-0.05384,0.06134647,0.11518647,0.1151864713096618,0.0795845523322755,0.5853658536585367,0.6807696058274848
Hz_NEt21_NPh22,test,Hz,-0.08858,0.057108134,0.145688134,0.1456881340312957,0.0868112671613853,0.6976744186046512,0.767749843012471
Hz_POZ1_NPh21_SO2Ph1,test,Hz,0.06967,-0.020612504,0.090282504,0.0902825043332576,0.0445993272583878,0.8,0.840090123005724
Hz_Cz1_NPh21_CF31,test,Hz,-0.13573,-0.14289969,0.007169690000000006,0.0071696920585632,0.060243400501706,0.6666666666666667,0.7353914447134786
Hz_DMAC1_NPh21_SO2Ph1,test,Hz,-0.06566,-0.10672437,0.04106437,0.0410643665456771,0.050925835237982,0.7868852459016393,0.8298769232601163
5AP_NPh22,test,5AP,0.1954,0.18730971,0.00809029,0.0080902878284454,0.1027923423539961,0.9069767441860466,0.9121837135201162
5AP_NMe2_NPh2,test,5AP,0.22997,0.14439912,0.08557088000000002,0.0855708785963058,0.0864704423748769,0.8571428571428572,0.8672179113688548
5AP_NEt2_Ph,test,5AP,0.1727,0.109358996,0.06334100399999999,0.0633410038471221,0.0911651399508508,0.8867924528301887,0.8938739170633155
5AP_NPh2_Me,test,5AP,0.17137,0.14903757,0.022332429999999986,0.0223324302387237,0.091671604537098,0.8958333333333334,0.9022293605395714
5AP_NPh2_OMe,test,5AP,0.22031,0.15085652,0.06945348000000001,0.0694534752941131,0.093816892824376,0.9074074074074074,0.9128081910080741
